fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-09-01,UA,UA_CODESHARE,UA,6061,YV,N87339,6061,12266,IAH,"Houston, TX",14570,RNO,"Reno, NV",2042,2058,16,16,2114,2236,6,2243,2242,-1,0,,0,N,241,224,202,1,1530,,,,,,,,,
2019-09-01,NK,NK,NK,810,NK,N638NK,810,13495,MSY,"New Orleans, LA",11433,DTW,"Detroit, MI",1200,,,,,,,1531,,,1,B,0,N,151,,,1,926,,,,,,,,,
2019-09-01,AA,AA,AA,3,AA,N101NN,3,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1229,1227,-2,16,1243,1458,4,1526,1502,-24,0,,0,N,357,335,315,1,2475,,,,,,,,,
2019-09-01,AA,AA,AA,5,AA,N751AN,5,11298,DFW,"Dallas/Fort Worth, TX",12173,HNL,"Honolulu, HI",1120,1146,26,17,1203,1430,4,1435,1434,-1,0,,0,N,495,468,447,1,3784,,,,,,,,,
2019-09-01,AA,AA,AA,6,AA,N789AN,6,13830,OGG,"Kahului, HI",11298,DFW,"Dallas/Fort Worth, TX",1755,2122,207,15,2137,914,8,610,922,192,0,,0,N,435,420,397,1,3711,192,0,0,0,0,,,,
2019-09-01,AA,AA,AA,8,AA,N751AN,8,12173,HNL,"Honolulu, HI",11298,DFW,"Dallas/Fort Worth, TX",1720,1717,-3,15,1732,516,7,546,523,-23,0,,0,N,446,426,404,1,3784,,,,,,,,,
2019-09-01,AA,AA,AA,9,AA,N151AN,9,13495,MSY,"New Orleans, LA",11298,DFW,"Dallas/Fort Worth, TX",812,806,-6,13,819,928,10,958,938,-20,0,,0,N,106,92,69,1,447,,,,,,,,,
2019-09-01,AA,AA,AA,10,AA,N108NN,10,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",2130,2128,-2,13,2141,548,11,608,559,-9,0,,0,N,338,331,307,1,2475,,,,,,,,,
2019-09-01,AA,AA,AA,12,AA,N862NN,12,11298,DFW,"Dallas/Fort Worth, TX",12451,JAX,"Jacksonville, FL",1509,1503,-6,23,1526,1820,8,1830,1828,-2,0,,0,N,141,145,114,1,918,,,,,,,,,
2019-09-01,AA,AA,AA,12,AA,N862NN,12,12451,JAX,"Jacksonville, FL",11298,DFW,"Dallas/Fort Worth, TX",1925,1925,0,10,1935,2043,13,2104,2056,-8,0,,0,N,159,151,128,1,918,,,,,,,,,
2019-09-01,AA,AA,AA,14,AA,N118NN,14,13830,OGG,"Kahului, HI",12892,LAX,"Los Angeles, CA",2052,2048,-4,10,2058,432,7,514,439,-35,0,,0,N,322,291,274,1,2486,,,,,,,,,
2019-09-01,AA,AA,AA,28,AA,N110AN,28,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",2300,2307,7,17,2324,735,9,739,744,5,0,,0,N,339,337,311,1,2475,,,,,,,,,
2019-09-01,AA,AA,AA,29,AA,N836NN,29,10721,BOS,"Boston, MA",13303,MIA,"Miami, FL",1755,1749,-6,18,1807,2059,18,2135,2117,-18,0,,0,N,220,208,172,1,1258,,,,,,,,,
2019-09-01,AA,AA,AA,29,AA,N836NN,29,13303,MIA,"Miami, FL",10721,BOS,"Boston, MA",1340,1333,-7,20,1353,1637,9,1705,1646,-19,0,,0,N,205,193,164,1,1258,,,,,,,,,
2019-09-01,AA,AA,AA,31,AA,N132AN,31,12892,LAX,"Los Angeles, CA",12173,HNL,"Honolulu, HI",827,824,-3,18,842,1055,4,1121,1059,-22,0,,0,N,354,335,313,1,2556,,,,,,,,,
2019-09-01,AA,AA,AA,32,AA,N116AN,32,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",1315,1349,34,15,1404,2153,11,2204,2204,0,0,,0,N,349,315,289,1,2475,,,,,,,,,
2019-09-01,AA,AA,AA,33,AA,N951AA,33,14100,PHL,"Philadelphia, PA",13930,ORD,"Chicago, IL",1551,1545,-6,27,1612,1704,15,1725,1719,-6,0,,0,N,154,154,112,1,678,,,,,,,,,
2019-09-01,AA,AA,AA,34,AA,N967NN,34,11618,EWR,"Newark, NJ",11298,DFW,"Dallas/Fort Worth, TX",1513,1508,-5,18,1526,1727,12,1807,1739,-28,0,,0,N,234,211,181,1,1372,,,,,,,,,
2019-09-01,AA,AA,AA,35,AA,N987AM,35,11298,DFW,"Dallas/Fort Worth, TX",14683,SAT,"San Antonio, TX",1230,1236,6,18,1254,1335,4,1334,1339,5,0,,0,N,64,63,41,1,247,,,,,,,,,
2019-09-01,AA,AA,AA,35,AA,N987AM,35,14683,SAT,"San Antonio, TX",11298,DFW,"Dallas/Fort Worth, TX",1425,1417,-8,10,1427,1512,8,1539,1520,-19,0,,0,N,74,63,45,1,247,,,,,,,,,
2019-09-01,AA,AA,AA,55,AA,N806AW,55,11298,DFW,"Dallas/Fort Worth, TX",13158,MAF,"Midland/Odessa, TX",2245,2237,-8,18,2255,2341,3,2352,2344,-8,0,,0,N,67,67,46,1,309,,,,,,,,,
2019-09-01,AA,AA,AA,56,AA,N117AN,56,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",2145,2143,-2,21,2204,30,9,100,39,-21,0,,0,N,375,356,326,1,2475,,,,,,,,,
2019-09-01,AA,AA,AA,57,AA,N899NN,57,13930,ORD,"Chicago, IL",12478,JFK,"New York, NY",2022,2019,-3,17,2036,2311,10,2349,2321,-28,0,,0,N,147,122,95,1,740,,,,,,,,,
2019-09-01,AA,AA,AA,899,AA,N406AN,899,12892,LAX,"Los Angeles, CA",14107,PHX,"Phoenix, AZ",1635,1635,0,24,1659,2103,14,1810,2117,,0,,1,N,95,,,1,370,,,,,,,,,
2019-09-01,AA,AA,AA,899,AA,N406AN,899,14107,PHX,"Phoenix, AZ",12892,LAX,"Los Angeles, CA",1354,1355,1,21,1416,1508,6,1524,1514,-10,0,,0,N,90,79,52,1,370,,,,,,,,,
2019-09-01,AA,AA,AA,901,AA,N702UW,901,14100,PHL,"Philadelphia, PA",14122,PIT,"Pittsburgh, PA",2045,2039,-6,15,2054,2256,11,2202,2307,65,0,,0,N,77,148,122,1,268,0,0,65,0,0,,,,
2019-09-01,AA,AA,AA,919,AA,N862NN,919,11697,FLL,"Fort Lauderdale, FL",11298,DFW,"Dallas/Fort Worth, TX",1152,1148,-4,15,1203,1342,4,1358,1346,-12,0,,0,N,186,178,159,1,1119,,,,,,,,,
2019-09-01,AA,AA,AA,922,AA,N838NN,922,13930,ORD,"Chicago, IL",13303,MIA,"Miami, FL",1841,1832,-9,20,1852,2217,6,2257,2223,-34,0,,0,N,196,171,145,1,1197,,,,,,,,,
2019-09-01,AA,AA,AA,942,AA,N947AN,942,13930,ORD,"Chicago, IL",14492,RDU,"Raleigh/Durham, NC",1211,1225,14,23,1248,1518,4,1507,1522,15,0,,0,N,116,117,90,1,646,14,0,1,0,0,,,,
2019-09-01,AA,AA,AA,943,AA,N826NN,943,13303,MIA,"Miami, FL",15024,STT,"Charlotte Amalie, VI",1058,1158,60,30,1228,1444,4,1355,1448,53,0,,0,N,177,170,136,1,1107,53,0,0,0,0,1056.0,21,21,
2019-09-01,AA,AA,AA,943,AA,N826NN,943,15024,STT,"Charlotte Amalie, VI",13303,MIA,"Miami, FL",1447,1524,37,13,1537,1757,22,1746,1819,33,0,,0,N,179,175,140,1,1107,0,0,0,0,33,,,,
2019-09-01,AA,AA,AA,944,AA,N12028,944,15016,STL,"St. Louis, MO",13303,MIA,"Miami, FL",544,535,-9,11,546,901,6,928,907,-21,0,,0,N,164,152,135,1,1068,,,,,,,,,
2019-09-01,AA,AA,AA,947,AA,N187AN,947,11298,DFW,"Dallas/Fort Worth, TX",14100,PHL,"Philadelphia, PA",1834,1834,0,20,1854,2227,12,2250,2239,-11,0,,0,N,196,185,153,1,1303,,,,,,,,,
2019-09-01,AA,AA,AA,949,AA,N576UW,949,14679,SAN,"San Diego, CA",11057,CLT,"Charlotte, NC",710,701,-9,20,721,1435,11,1503,1446,-17,0,,0,N,293,285,254,1,2077,,,,,,,,,
2019-09-01,AA,AA,AA,952,AA,N950AN,952,12478,JFK,"New York, NY",14107,PHX,"Phoenix, AZ",1330,1321,-9,36,1357,1538,8,1557,1546,-11,0,,0,N,327,325,281,1,2153,,,,,,,,,
2019-09-01,AA,AA,AA,952,AA,N950AN,952,14107,PHX,"Phoenix, AZ",14057,PDX,"Portland, OR",1710,2039,209,28,2107,2318,3,1952,2321,209,0,,0,N,162,162,131,1,1009,0,209,0,0,0,1718.0,96,96,
2019-09-01,AA,AA,AA,955,AA,N771XF,955,10721,BOS,"Boston, MA",14100,PHL,"Philadelphia, PA",1755,1747,-8,18,1805,1904,14,1944,1918,-26,0,,0,N,109,91,59,1,280,,,,,,,,,
2019-09-01,AA,AA,AA,956,AA,N910AN,956,14679,SAN,"San Diego, CA",13930,ORD,"Chicago, IL",800,754,-6,25,819,1350,18,1418,1408,-10,0,,0,N,258,254,211,1,1723,,,,,,,,,
2019-09-01,AA,AA,AA,958,AA,N959NN,958,12892,LAX,"Los Angeles, CA",10423,AUS,"Austin, TX",1135,1134,-1,19,1153,1631,5,1641,1636,-5,0,,0,N,186,182,158,1,1242,,,,,,,,,
2019-09-01,AA,AA,AA,959,AA,N827NN,959,12478,JFK,"New York, NY",13303,MIA,"Miami, FL",1803,1824,21,38,1902,2138,8,2134,2146,12,0,,0,N,211,202,156,1,1089,,,,,,,,,
2019-09-01,AA,AA,AA,960,AA,N993NN,960,13930,ORD,"Chicago, IL",10397,ATL,"Atlanta, GA",1700,1702,2,12,1714,1935,21,1958,1956,-2,0,,0,N,118,114,81,1,606,,,,,,,,,
2019-09-01,AA,AA,AA,970,AA,N818NN,970,12953,LGA,"New York, NY",13303,MIA,"Miami, FL",830,819,-11,22,841,1109,12,1152,1121,-31,0,,0,N,202,182,148,1,1096,,,,,,,,,
2019-09-01,AA,AA,AA,972,AA,N556UW,972,11057,CLT,"Charlotte, NC",14307,PVD,"Providence, RI",1650,1648,-2,23,1711,1838,5,1902,1843,-19,0,,0,N,132,115,87,1,683,,,,,,,,,
2019-09-01,AA,AA,AA,973,AA,N957AN,973,14107,PHX,"Phoenix, AZ",13204,MCO,"Orlando, FL",1230,1226,-4,14,1240,1932,6,1952,1938,-14,0,,0,N,262,252,232,1,1849,,,,,,,,,
2019-09-01,AA,AA,AA,974,AA,N881NN,974,10693,BNA,"Nashville, TN",11057,CLT,"Charlotte, NC",1045,1040,-5,12,1052,1245,19,1317,1304,-13,0,,0,N,92,84,53,1,328,,,,,,,,,
2019-09-01,AA,AA,AA,981,AA,N928AM,981,14107,PHX,"Phoenix, AZ",11298,DFW,"Dallas/Fort Worth, TX",1521,1515,-6,11,1526,1925,26,1955,1951,-4,0,,0,N,154,156,119,1,868,,,,,,,,,
2019-09-01,AA,AA,AA,985,AA,N968NN,985,11278,DCA,"Washington, DC",13930,ORD,"Chicago, IL",1200,1152,-8,28,1220,1301,26,1317,1327,10,0,,0,N,137,155,101,1,612,,,,,,,,,
2019-09-01,AA,AA,AA,985,AA,N968NN,985,13930,ORD,"Chicago, IL",11278,DCA,"Washington, DC",808,801,-7,17,818,1039,6,1100,1045,-15,0,,0,N,112,104,81,1,612,,,,,,,,,
2019-09-01,AA,AA,AA,990,AA,N70020,990,11278,DCA,"Washington, DC",13303,MIA,"Miami, FL",1340,1335,-5,11,1346,1551,8,1635,1559,-36,0,,0,N,175,144,125,1,919,,,,,,,,,
2019-09-01,AA,AA,AA,990,AA,N70020,990,13303,MIA,"Miami, FL",11278,DCA,"Washington, DC",1013,1021,8,14,1035,1241,5,1245,1246,1,0,,0,N,152,145,126,1,919,,,,,,,,,
2019-09-01,AA,AA,AA,998,AA,N933AN,998,13487,MSP,"Minneapolis, MN",13930,ORD,"Chicago, IL",910,922,12,13,935,1025,22,1051,1047,-4,0,,0,N,101,85,50,1,334,,,,,,,,,
2019-09-01,AA,AA,AA,999,AA,N968TW,999,11193,CVG,"Cincinnati, OH",11298,DFW,"Dallas/Fort Worth, TX",805,803,-2,13,816,909,13,935,922,-13,0,,0,N,150,139,113,1,812,,,,,,,,,
2019-09-01,AA,AA,AA,1002,AA,N673AW,1002,11057,CLT,"Charlotte, NC",12478,JFK,"New York, NY",1153,1203,10,16,1219,1338,21,1400,1359,-1,0,,0,N,127,116,79,1,541,,,,,,,,,
2019-09-01,AA,AA,AA,1039,AA,N722US,1039,11057,CLT,"Charlotte, NC",14635,RSW,"Fort Myers, FL",1305,1304,-1,24,1328,1502,4,1458,1506,8,0,,0,N,113,122,94,1,600,,,,,,,,,
2019-09-01,AA,AA,AA,1039,AA,N722US,1039,14635,RSW,"Fort Myers, FL",11057,CLT,"Charlotte, NC",1552,1543,-9,9,1552,1716,44,1800,1800,0,0,,0,N,128,137,84,1,600,,,,,,,,,
2019-09-01,AA,AA,AA,1040,AA,N306PB,1040,13487,MSP,"Minneapolis, MN",14107,PHX,"Phoenix, AZ",723,714,-9,22,736,819,27,901,846,-15,0,,0,N,218,212,163,1,1276,,,,,,,,,
2019-09-01,AA,AA,AA,1042,AA,N800NN,1042,11298,DFW,"Dallas/Fort Worth, TX",13303,MIA,"Miami, FL",500,454,-6,10,504,828,6,854,834,-20,0,,0,N,174,160,144,1,1121,,,,,,,,,
2019-09-01,AA,AA,AA,1044,AA,N977NN,1044,12892,LAX,"Los Angeles, CA",10529,BDL,"Hartford, CT",2330,11,41,17,28,819,4,753,823,30,0,,0,N,323,312,291,1,2527,30,0,0,0,0,,,,
2019-09-01,AA,AA,AA,1046,AA,N93003,1046,13303,MIA,"Miami, FL",15304,TPA,"Tampa, FL",1954,2002,8,17,2019,2055,4,2102,2059,-3,0,,0,N,68,57,36,1,204,,,,,,,,,
2019-09-01,AA,AA,AA,1047,AA,N966TW,1047,11298,DFW,"Dallas/Fort Worth, TX",15624,VPS,"Valparaiso, FL",1046,1040,-6,18,1058,1223,9,1247,1232,-15,0,,0,N,121,112,85,1,641,,,,,,,,,
2019-09-01,AA,AA,AA,1047,AA,N966TW,1047,15624,VPS,"Valparaiso, FL",11298,DFW,"Dallas/Fort Worth, TX",1327,1319,-8,12,1331,1508,13,1539,1521,-18,0,,0,N,132,122,97,1,641,,,,,,,,,
2019-09-01,AA,AA,AA,1048,AA,N9018E,1048,11278,DCA,"Washington, DC",13303,MIA,"Miami, FL",1200,1154,-6,23,1217,1422,6,1449,1428,-21,0,,0,N,169,154,125,1,919,,,,,,,,,
2019-09-01,AA,AA,AA,1048,AA,N9018E,1048,13303,MIA,"Miami, FL",11278,DCA,"Washington, DC",829,824,-5,10,834,1044,5,1102,1049,-13,0,,0,N,153,145,130,1,919,,,,,,,,,
2019-09-01,AA,AA,AA,1049,AA,N902AN,1049,11618,EWR,"Newark, NJ",13930,ORD,"Chicago, IL",912,904,-8,16,920,1044,11,1100,1055,-5,0,,0,N,168,171,144,1,719,,,,,,,,,
2019-09-01,AA,AA,AA,1856,AA,N806AW,1856,15919,XNA,"Fayetteville, AR",11298,DFW,"Dallas/Fort Worth, TX",1228,1220,-8,10,1230,1313,9,1347,1322,-25,0,,0,N,79,62,43,1,280,,,,,,,,,
2019-09-01,AA,AA,AA,1857,AA,N828AW,1857,11057,CLT,"Charlotte, NC",10994,CHS,"Charleston, SC",2135,2124,-11,18,2142,2218,9,2233,2227,-6,0,,0,N,58,63,36,1,168,,,,,,,,,
2019-09-01,AA,AA,AA,1861,AA,N915US,1861,10423,AUS,"Austin, TX",14107,PHX,"Phoenix, AZ",625,618,-7,15,633,623,14,650,637,-13,0,,0,N,145,139,110,1,872,,,,,,,,,
2019-09-01,AA,AA,AA,1862,AA,N549UW,1862,11057,CLT,"Charlotte, NC",12953,LGA,"New York, NY",1305,1258,-7,19,1317,1436,5,1501,1441,-20,0,,0,N,116,103,79,1,544,,,,,,,,,
2019-09-01,AA,AA,AA,1862,AA,N549UW,1862,12953,LGA,"New York, NY",11057,CLT,"Charlotte, NC",1556,1546,-10,21,1607,1732,19,1816,1751,-25,0,,0,N,140,125,85,1,544,,,,,,,,,
2019-09-01,AA,AA,AA,1864,AA,N188US,1864,14100,PHL,"Philadelphia, PA",11697,FLL,"Fort Lauderdale, FL",1809,1824,15,23,1847,2104,8,2112,2112,0,0,,0,N,183,168,137,1,992,,,,,,,,,
2019-09-01,AA,AA,AA,1867,AA,N179UW,1867,14893,SMF,"Sacramento, CA",14107,PHX,"Phoenix, AZ",600,600,0,11,611,745,6,757,751,-6,0,,0,N,117,111,94,1,647,,,,,,,,,
2019-09-01,AA,AA,AA,1870,AA,N601AW,1870,14100,PHL,"Philadelphia, PA",11697,FLL,"Fort Lauderdale, FL",1524,1517,-7,32,1549,1825,5,1822,1830,8,0,,0,N,178,193,156,1,992,,,,,,,,,
2019-09-01,AA,AA,AA,1871,AA,N557UW,1871,12892,LAX,"Los Angeles, CA",11057,CLT,"Charlotte, NC",2331,28,57,22,50,816,12,725,828,63,0,,0,N,294,300,266,1,2125,43,0,6,0,14,,,,
2019-09-01,AA,AA,AA,1874,AA,N700UW,1874,14100,PHL,"Philadelphia, PA",10721,BOS,"Boston, MA",2055,2053,-2,22,2115,2206,9,2224,2215,-9,0,,0,N,89,82,51,1,280,,,,,,,,,
2019-09-01,AA,AA,AA,1879,AA,N122US,1879,11057,CLT,"Charlotte, NC",13204,MCO,"Orlando, FL",2015,2009,-6,13,2022,2134,7,2159,2141,-18,0,,0,N,104,92,72,1,468,,,,,,,,,
2019-09-01,AA,AA,AA,1880,AA,N977UY,1880,14771,SFO,"San Francisco, CA",14107,PHX,"Phoenix, AZ",1216,1212,-4,14,1226,1401,11,1427,1412,-15,0,,0,N,131,120,95,1,651,,,,,,,,,
2019-09-01,AA,AA,AA,1882,AA,N708UW,1882,11057,CLT,"Charlotte, NC",14524,RIC,"Richmond, VA",2239,2226,-13,18,2244,2331,8,2351,2339,-12,0,,0,N,72,73,47,1,257,,,,,,,,,
2019-09-01,AA,AA,AA,1883,AA,N963AN,1883,11057,CLT,"Charlotte, NC",13930,ORD,"Chicago, IL",1449,1448,-1,19,1507,1535,31,1609,1606,-3,0,,0,N,140,138,88,1,599,,,,,,,,,
2019-09-01,AA,AA,AA,1884,AA,N819AW,1884,11057,CLT,"Charlotte, NC",12339,IND,"Indianapolis, IN",1141,1139,-2,19,1158,1300,6,1317,1306,-11,0,,0,N,96,87,62,1,427,,,,,,,,,
2019-09-01,AA,AA,AA,1884,AA,N819AW,1884,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",1357,1352,-5,12,1404,1513,13,1537,1526,-11,0,,0,N,100,94,69,1,427,,,,,,,,,
2019-09-01,AA,AA,AA,1885,AA,N401AN,1885,11298,DFW,"Dallas/Fort Worth, TX",14107,PHX,"Phoenix, AZ",1625,1633,8,16,1649,1656,4,1654,1700,6,0,,0,N,149,147,127,1,868,,,,,,,,,
2019-09-01,AA,AA,AA,1885,AA,N401AN,1885,14107,PHX,"Phoenix, AZ",11298,DFW,"Dallas/Fort Worth, TX",1055,1050,-5,16,1106,1500,13,1526,1513,-13,0,,0,N,151,143,114,1,868,,,,,,,,,
2019-09-01,AA,AA,AA,1886,AA,N521UW,1886,12889,LAS,"Las Vegas, NV",11298,DFW,"Dallas/Fort Worth, TX",1930,1927,-3,17,1944,7,6,16,13,-3,0,,0,N,166,166,143,1,1055,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3441,9E,N314PQ,3441,14783,SGF,"Springfield, MO",10397,ATL,"Atlanta, GA",1600,1549,-11,23,1612,1826,10,1856,1836,-20,0,,0,N,116,107,74,1,563,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3443,9E,N335PQ,3443,13487,MSP,"Minneapolis, MN",10994,CHS,"Charleston, SC",1757,1753,-4,12,1805,2118,8,2157,2126,-31,0,,0,N,180,153,133,1,1087,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3447,9E,N228PQ,3447,12945,LEX,"Lexington, KY",11433,DTW,"Detroit, MI",605,600,-5,11,611,658,7,729,705,-24,0,,0,N,84,65,47,1,296,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3449,9E,N919XJ,3449,12339,IND,"Indianapolis, IN",11433,DTW,"Detroit, MI",1350,1344,-6,33,1417,1456,9,1506,1505,-1,0,,0,N,76,81,39,1,231,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3452,9E,N348PQ,3452,12478,JFK,"New York, NY",11042,CLE,"Cleveland, OH",1218,1221,3,16,1237,1348,5,1410,1353,-17,0,,0,N,112,92,71,1,425,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3455,9E,N319PQ,3455,10397,ATL,"Atlanta, GA",10431,AVL,"Asheville, NC",1010,1003,-7,20,1023,1054,4,1113,1058,-15,0,,0,N,63,55,31,1,164,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3455,9E,N319PQ,3455,10431,AVL,"Asheville, NC",10397,ATL,"Atlanta, GA",1149,1143,-6,16,1159,1238,6,1300,1244,-16,0,,0,N,71,61,39,1,164,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3456,9E,N8783E,3456,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",2208,2155,-13,23,2218,2211,6,2224,2217,-7,0,,0,N,76,82,53,1,302,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3457,9E,N607LR,3457,13931,ORF,"Norfolk, VA",12953,LGA,"New York, NY",1010,1006,-4,21,1027,1121,4,1141,1125,-16,0,,0,N,91,79,54,1,296,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3458,9E,N8969A,3458,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",1508,1503,-5,17,1520,1631,4,1649,1635,-14,0,,0,N,101,92,71,1,457,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3460,9E,N301PQ,3460,12953,LGA,"New York, NY",11042,CLE,"Cleveland, OH",1155,1155,0,28,1223,1331,5,1347,1336,-11,0,,0,N,112,101,68,1,419,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3461,9E,N304PQ,3461,13795,OAJ,"Jacksonville/Camp Lejeune, NC",10397,ATL,"Atlanta, GA",1520,1509,-11,19,1528,1636,10,1702,1646,-16,0,,0,N,102,97,68,1,399,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3463,9E,N912XJ,3463,12478,JFK,"New York, NY",15096,SYR,"Syracuse, NY",1659,1655,-4,20,1715,1755,3,1834,1758,-36,0,,0,N,95,63,40,1,209,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3463,9E,N912XJ,3463,15096,SYR,"Syracuse, NY",12478,JFK,"New York, NY",1912,1951,39,12,2003,2047,13,2051,2100,9,0,,0,N,99,69,44,1,209,,,,,,1907.0,8,8,
2019-09-01,DL,DL_CODESHARE,DL,3464,9E,N835AY,3464,13930,ORD,"Chicago, IL",11193,CVG,"Cincinnati, OH",950,945,-5,14,959,1146,4,1203,1150,-13,0,,0,N,73,65,47,1,264,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3465,9E,N349PQ,3465,10397,ATL,"Atlanta, GA",14098,PHF,"Newport News/Williamsburg, VA",1217,1212,-5,22,1234,1341,4,1355,1345,-10,0,,0,N,98,93,67,1,508,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3466,9E,N655CA,3466,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",1130,1125,-5,40,1205,1254,11,1308,1305,-3,0,,0,N,98,100,49,1,292,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3466,9E,N655CA,3466,14524,RIC,"Richmond, VA",12953,LGA,"New York, NY",1345,1400,15,12,1412,1458,6,1506,1504,-2,0,,0,N,81,64,46,1,292,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3467,9E,N301PQ,3467,11057,CLT,"Charlotte, NC",12953,LGA,"New York, NY",830,838,8,12,850,1002,6,1032,1008,-24,0,,0,N,122,90,72,1,544,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3468,9E,N228PQ,3468,11433,DTW,"Detroit, MI",11193,CVG,"Cincinnati, OH",1600,1550,-10,16,1606,1659,9,1716,1708,-8,0,,0,N,76,78,53,1,229,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3469,9E,N678CA,3469,13931,ORF,"Norfolk, VA",11433,DTW,"Detroit, MI",1700,1656,-4,27,1723,1846,7,1906,1853,-13,0,,0,N,126,117,83,1,529,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3470,9E,N8886A,3470,11203,CWA,"Mosinee, WI",11433,DTW,"Detroit, MI",830,820,-10,11,831,1027,5,1059,1032,-27,0,,0,N,89,72,56,1,363,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3472,9E,N138EV,3472,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",1515,1510,-5,29,1539,1652,4,1708,1656,-12,0,,0,N,113,106,73,1,461,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3473,9E,N906XJ,3473,11433,DTW,"Detroit, MI",11298,DFW,"Dallas/Fort Worth, TX",2015,2005,-10,21,2026,2130,8,2158,2138,-20,0,,0,N,163,153,124,1,986,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3474,9E,N980EV,3474,12264,IAD,"Washington, DC",12478,JFK,"New York, NY",1059,1055,-4,17,1112,1158,8,1219,1206,-13,0,,0,N,80,71,46,1,228,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3474,9E,N980EV,3474,12478,JFK,"New York, NY",12264,IAD,"Washington, DC",900,856,-4,17,913,956,2,1024,958,-26,0,,0,N,84,62,43,1,228,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3475,9E,N176PQ,3475,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",730,724,-6,12,736,835,7,854,842,-12,0,,0,N,84,78,59,1,292,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3476,9E,N904XJ,3476,11433,DTW,"Detroit, MI",13184,MBS,"Saginaw/Bay City/Midland, MI",845,839,-6,14,853,917,7,942,924,-18,0,,0,N,57,45,24,1,98,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3478,9E,N186PQ,3478,12478,JFK,"New York, NY",13930,ORD,"Chicago, IL",940,935,-5,20,955,1057,11,1121,1108,-13,0,,0,N,161,153,122,1,740,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3479,9E,N138EV,3479,11042,CLE,"Cleveland, OH",12953,LGA,"New York, NY",1200,1156,-4,15,1211,1327,13,1341,1340,-1,0,,0,N,101,104,76,1,419,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3480,9E,N186PQ,3480,12339,IND,"Indianapolis, IN",12478,JFK,"New York, NY",608,608,0,15,623,752,8,820,800,-20,0,,0,N,132,112,89,1,665,,,,,,,,,
2019-09-01,DL,DL_CODESHARE,DL,3481,9E,N200PQ,3481,11721,FNT,"Flint, MI",10397,ATL,"Atlanta, GA",1445,1435,-10,12,1447,1627,7,1659,1634,-25,0,,0,N,134,119,100,1,645,,,,,,,,,
